Filial;Pagador;Remetente;Origem;UF Origem;Destinatario;Destino;UF Destino;Endereco entrega;Bairro;CEP;Expedidor;Recebedor;Data frete;Prazo entrega;Tipo;Documento;Chave CT-e;Nº CT-e;Série;Emissão CT-e;Emissão NFS-e;NF;Qtd NF;Nº Pedidos;Nº Cotacao;Nº Coleta;CT-e 3º;Transportadora;AWB;Cia Aérea;Volumes;Kg Taxado;Kg Real;M3;Valor NF;Valor Frete;Valor Total do Serviço;Valor/Kg;% Frete/NF;Base Cálculo;% ICMS;Valor ICMS;% ICMS Antecipado;Valor ICMS Antecipado;Tabela de Preço;Classificação;Centro de Custo;Usuário
RJR - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;CMBA ;CMBA ;Rio de Janeiro;RJ;Shirlei dos Anjos da Souza - ME;São Paulo;SP;Rua - Joao Scatamacchia, 411;Vila - Campo Grande;"=""04455130""";CMBA ;Shirlei dos Anjos da Souza - ME;03/11/2025 09:48;05/11/2025 23:59;Frete normal;1687/262470;"=""33251160960473001304570030000016871349508827""";"=""1687""";"=""3""";03/11/2025;;"=""21651""";"=""1""";;;"=""70770""";;;;;1;28,00;28,00;0,06;800,00;72,10;72,10;2,58;9,01;72,10;12,00;8,65;0,00;0,00;CMBA;FRACIONADO - LTL;;Bruno Borges - Administrativo (RJR)
NHB - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;BR SUPPLY - SLO;BR SUPPLY - SLO;São Leopoldo;RS;SODEXO DO BRASIL COMERCIAL LTDA;Seropédica;RJ;Estrada de Paulo de Frontin, 1700;Cabral;"=""23893460""";;SODEXO DO BRASIL COMERCIAL LTDA;03/11/2025 10:06;12/11/2025 23:59;Frete normal;3017/262471;"=""43251160960473001568570030000030171345575472""";"=""3017""";"=""3""";03/11/2025;;586464, 586511;"=""2""";287102151, 287102153;;"=""70959""";;;;;6;35,86;35,86;0,13;3.481,98;208,40;208,40;5,81;5,99;208,40;12,00;25,01;0,00;0,00;BR SUPPLY;FRACIONADO - LTL;;Filial Novo Hamburgo
NHB - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;BR SUPPLY - SLO;BR SUPPLY - SLO;São Leopoldo;RS;PROMIL PROMOTORA DE VENDAS LTDA;Camaragibe;PE;AV DR BELMINO CORREIA, 1392;BAIRRO NOVO DO CARMELO;"=""54759000""";;PROMIL PROMOTORA DE VENDAS LTDA;03/11/2025 10:21;17/11/2025 23:59;Frete normal;3018/262472;"=""43251160960473001568570030000030181354568243""";"=""3018""";"=""3""";03/11/2025;;"=""586339""";"=""1""";;;"=""70959""";;;;;3;14,80;14,80;0,08;499,17;166,75;166,75;11,27;33,41;166,75;7,00;11,67;0,00;0,00;BR SUPPLY;FRACIONADO - LTL;;Filial Novo Hamburgo
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MAURICEA ALIMENTOS DO NORDESTE LTDA;BRASIL BOLSAS CONFECCOES E PROMOCOES LTDA;São Paulo;SP;MAURICEA ALIMENTOS DO NORDESTE LTDA;Nazaré da Mata;PE;BR 408 KM 55, S/N;ZONA RURAL;"=""55800000""";;MAURICEA ALIMENTOS DO NORDESTE LTDA;03/11/2025 10:22;18/11/2025 23:59;Frete normal;83681/262473;"=""35251160960473000243570030000836811425123362""";"=""83681""";"=""3""";03/11/2025;;"=""1491""";"=""1""";;;"=""70106""";;;;;257;3.341,00;3.341,00;0,00;237.683,40;7.000,00;7.000,00;2,10;2,95;7.000,00;7,00;490,00;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MAURICEA ALIMENTOS DO NORDESTE LTDA;BRASIL BOLSAS CONFECCOES E PROMOCOES LTDA;São Paulo;SP;MAURICEA ALIMENTOS DO NORDESTE LTDA;Nazaré da Mata;PE;BR 408 KM 55, S/N;ZONA RURAL;"=""55800000""";;MAURICEA ALIMENTOS DO NORDESTE LTDA;03/11/2025 10:25;18/11/2025 23:59;Frete normal;83682/262474;"=""35251160960473000243570030000836821477640420""";"=""83682""";"=""3""";03/11/2025;;"=""1492""";"=""1""";;;"=""70106""";;;;;86;1.118,00;1.118,00;0,00;79.227,80;4.665,59;4.665,59;4,17;5,89;4.665,59;7,00;326,59;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MAURICEA ALIMENTOS DO NORDESTE LTDA;BRASIL BOLSAS CONFECCOES E PROMOCOES LTDA;São Paulo;SP;MAURICEA ALIMENTOS DO NORDESTE LTDA;Nazaré da Mata;PE;BR 408 KM 55, S/N;ZONA RURAL;"=""55800000""";;MAURICEA ALIMENTOS DO NORDESTE LTDA;03/11/2025 10:28;18/11/2025 23:59;Frete normal;83683/262475;"=""35251160960473000243570030000836831067327222""";"=""83683""";"=""3""";03/11/2025;;"=""1494""";"=""1""";;;"=""70106""";;;;;44;572,00;572,00;0,00;39.613,90;4.665,58;4.665,58;8,16;11,78;4.665,58;7,00;326,59;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
NHB - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;BR SUPPLY - SLO;BR SUPPLY - SLO;São Leopoldo;RS;BANCO DO BRASIL S/A;Cabo de Santo Agostinho;PE;R JULIO SILVEIRA, 32;CENTRO;"=""54510490""";;BANCO DO BRASIL S/A;03/11/2025 10:28;17/11/2025 23:59;Frete normal;3019/262476;"=""43251160960473001568570030000030191354234750""";"=""3019""";"=""3""";03/11/2025;;"=""586020""";"=""1""";;;"=""70959""";;;;;27;84,03;84,03;0,59;3.775,03;233,96;233,96;2,78;6,20;233,96;7,00;16,38;0,00;0,00;BR SUPPLY;FRACIONADO - LTL;;Filial Novo Hamburgo
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MAURICEA ALIMENTOS DO NORDESTE LTDA;BRASIL BOLSAS CONFECCOES E PROMOCOES LTDA;São Paulo;SP;MAURICEA ALIMENTOS DO NORDESTE LTDA;Nazaré da Mata;PE;BR 408 KM 55, S/N;ZONA RURAL;"=""55800000""";;MAURICEA ALIMENTOS DO NORDESTE LTDA;03/11/2025 10:31;18/11/2025 23:59;Frete normal;83684/262477;"=""35251160960473000243570030000836841200866203""";"=""83684""";"=""3""";03/11/2025;;"=""1493""";"=""1""";;;"=""70106""";;;;;44;572,00;572,00;0,00;40.043,90;4.668,83;4.668,83;8,16;11,66;4.668,83;7,00;326,82;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
NHB - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;BR SUPPLY - SLO;BR SUPPLY - SLO;São Leopoldo;RS;SODEXO DO BRASIL COMERCIAL LTDA;Rio de Janeiro;RJ;Rua Colbert Coelho, 155;Barra da Tijuca;"=""22793313""";;SODEXO DO BRASIL COMERCIAL LTDA;03/11/2025 10:32;11/11/2025 23:59;Frete normal;3020/262478;"=""43251160960473001568570030000030201067699794""";"=""3020""";"=""3""";03/11/2025;;"=""586481""";"=""1""";"=""287084872""";;"=""70959""";;;;;3;25,90;25,90;0,09;1.630,16;186,66;186,66;7,21;11,45;186,66;12,00;22,40;0,00;0,00;BR SUPPLY;FRACIONADO - LTL;;Filial Novo Hamburgo
NHB - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;BR SUPPLY - SLO;BR SUPPLY - SLO;São Leopoldo;RS;COMANDO DA AERONAUTICA;Curitiba;PR;AV PREF ERASTO GAERTNER, 1000;BACACHERI;"=""82515000""";;COMANDO DA AERONAUTICA;03/11/2025 10:35;07/11/2025 23:59;Frete normal;3021/262479;"=""43251160960473001568570030000030211095750321""";"=""3021""";"=""3""";03/11/2025;;"=""584986""";"=""1""";;;"=""70959""";;;;;30;696,00;696,00;1,16;6.552,00;526,68;526,68;0,76;8,04;526,68;12,00;63,20;0,00;0,00;BR SUPPLY;FRACIONADO - LTL;;Filial Novo Hamburgo
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;SNT INDUSTRIAL LTDA;BANDEIRANTES PERFIS;Osasco;SP;SNT INDUSTRIAL LTDA;Jaú;SP;AVENIDA ANTONIO DE ALMEIDA PACHECO, 2803;2 ZONA INDUSTRIAL;"=""17213700""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 10:38;06/11/2025 23:59;Frete normal;83665/262482;"=""35251160960473000243570030000836651108029974""";"=""83665""";"=""3""";03/11/2025;;"=""94912""";"=""1""";;;;;;;;2;60,48;40,00;0,20;2.804,94;97,82;97,82;1,62;3,49;97,82;12,00;11,74;0,00;0,00;SNT;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
NHB - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;BR SUPPLY - SLO;BR SUPPLY - SLO;São Leopoldo;RS;SODEXO DO BRASIL COMERCIAL LTDA;Duque de Caxias;RJ;Via Arterial PD-04, 3777;Pilar;"=""25230276""";;SODEXO DO BRASIL COMERCIAL LTDA;03/11/2025 10:39;11/11/2025 23:59;Frete normal;3022/262480;"=""43251160960473001568570030000030221318647514""";"=""3022""";"=""3""";03/11/2025;;"=""586421""";"=""1""";"=""287101642""";;"=""70959""";;;;;5;34,27;34,27;0,08;916,07;181,38;181,38;5,29;19,80;181,38;12,00;21,77;0,00;0,00;BR SUPPLY;FRACIONADO - LTL;;Filial Novo Hamburgo
CPQ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;PPG SUM;Sumaré;SP;COMERCIAL JP TINTAS AUTOMOTIVAS LTDA;Jacareí;SP;R CARLOS HANDORF, 98;VILA PINHEIRO;"=""12307170""";;;03/11/2025 10:43;06/11/2025 23:59;Frete de reentrega;31276/262481;"=""35251160960473000758570030000312761160531535""";"=""31276""";"=""3""";03/11/2025;;398188, 398195;"=""2""";;;;;;;;41;202,08;202,08;0,00;5.654,52;67,90;67,90;0,34;1,20;67,90;12,00;8,15;0,00;0,00;PPG - FRACIONADA;FRACIONADO - LTL;;Fabiola Leite - GRC (SPO)
CPQ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;PPG SUM;Sumaré;SP;TI BRASIL INDUSTRIA E COMERCIO LTDA;São José dos Campos;SP;RODV PRESD DUTRA, S N;DO RONDA;"=""12227788""";;;03/11/2025 10:49;06/11/2025 23:59;Frete de reentrega;31277/262483;"=""35251160960473000758570030000312771458606127""";"=""31277""";"=""3""";03/11/2025;;"=""398187""";"=""1""";;;;;;;;4;749,20;749,20;0,00;56.984,40;302,69;302,69;0,40;0,53;302,69;12,00;36,32;0,00;0,00;PPG - FRACIONADA;FRACIONADO - LTL;;Fabiola Leite - GRC (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;CORBION ARAUCARIA;QUIMVALE;Osasco;SP;CORBION ARAUCARIA;Araucária;PR;Avenida das Araucárias, 4826;Industrial;"=""83707754""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 10:49;05/11/2025 23:59;Frete normal;83779/262484;"=""35251160960473000243570030000837791414065096""";"=""83779""";"=""3""";03/11/2025;;"=""41659""";"=""1""";"=""4500335100""";;;;;;;484;12.451,00;12.451,00;18,48;25.706,45;8.066,70;8.066,70;0,65;31,38;8.066,70;12,00;968,00;0,00;0,00;CORBION FRACIONADA;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;NEANDER COSMETICOS;INDUSTRIA FILIAL;Osasco;SP;NEANDER COSMETICOS;Agudos;SP;R Pastor Sebastiao A, De Oliveira, D-71;Distrito Industrial Hatsuta;"=""17123221""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 10:58;05/11/2025 23:59;Frete normal;83666/262485;"=""35251160960473000243570030000836661482027257""";"=""83666""";"=""3""";03/11/2025;;"=""14077""";"=""1""";;;;;;;;8;280,00;280,00;0,45;3.503,46;236,27;236,27;0,84;6,74;236,27;12,00;28,35;0,00;0,00;NEANDER COSMETICOS;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;KEMIRA - TELEMACO BORBA;ELEKEIROZ S/A;Osasco;SP;KEMIRA - TELEMACO BORBA;Telêmaco Borba;PR;ROD DO PAPEL PR 160 KM 222, S/N;DISTRITO DO TRIANGULO;"=""84269090""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 11:03;05/11/2025 23:59;Frete normal;83667/262486;"=""35251160960473000243570030000836671988541498""";"=""83667""";"=""3""";03/11/2025;;"=""317370""";"=""1""";"=""4503415296""";;;;;;;400;10.322,00;10.322,00;11,40;110.990,20;6.554,49;6.554,49;0,64;5,91;6.554,49;12,00;786,54;0,00;0,00;KEMIRA - FRACIONADA;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;TIGRE | CASTRO | 0002-50;ACO.COM;São Paulo;SP;TIGRE | CASTRO | 0002-50;Castro;PR;AV TIGRE, 660;VILA SANTA CRUZ;"=""84168215""";;;03/11/2025 11:06;05/11/2025 23:59;Frete normal;83668/262487;"=""35251160960473000243570030000836681515961632""";"=""83668""";"=""3""";03/11/2025;;"=""14914""";"=""1""";"=""4501084901""";;"=""70962""";;;;;22;9.179,00;9.179,00;6,19;240.052,41;4.206,02;4.206,02;0,46;1,75;4.206,02;12,00;504,72;0,00;0,00;TIGRE - INSUMOS;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRISIA ;SPIRAX SARCO INDUSTRIA E COMERCIO LTDA;Osasco;SP;FRISIA ;Ponta Grossa;PR;AV SENADOR FLAVIO CARVALHO GUIMARAES, 8707;BOA VISTA;"=""84072190""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 11:09;05/11/2025 23:59;Frete normal;83669/262488;"=""35251160960473000243570030000836691930966784""";"=""83669""";"=""3""";03/11/2025;;"=""293989""";"=""1""";"=""455023""";;;;;;;1;17,50;17,50;0,03;6.354,23;83,20;83,20;4,75;1,31;83,20;12,00;9,98;0,00;0,00;FRISIA - Ponta Grossa - PR;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MAKITA DO BRASIL FERRAMENTAS ELETRICAS L;Condat Lubrificantes do Brasil;Osasco;SP;MAKITA DO BRASIL FERRAMENTAS ELETRICAS L;Ponta Grossa;PR;RODOVIA BR 376 KM 506 S/N, SN;INDUSTRIAL;"=""84043450""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 11:11;05/11/2025 23:59;Frete normal;83670/262489;"=""35251160960473000243570030000836701696819726""";"=""83670""";"=""3""";03/11/2025;;"=""66567""";"=""1""";;;;;;;;2;40,00;40,00;0,05;1.469,43;99,01;99,01;2,48;6,74;99,01;12,00;11,88;0,00;0,00;MAKITA;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MADEIRANIT COM E IND DE MADEIRAS LTDA-42220;RENNER SAYERLACK S.A;Osasco;SP;MADEIRANIT COM E IND DE MADEIRAS LTDA-42220;Sorocaba;SP;ROD RAPOSO TAVARES,, SN;VL ARTURA;"=""18023000""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 11:13;05/11/2025 23:59;Frete normal;83671/262490;"=""35251160960473000243570030000836711799285322""";"=""83671""";"=""3""";03/11/2025;;914291, 914296;"=""2""";;;;;;;;21;363,23;363,23;1,08;9.941,88;295,65;295,65;0,81;2,97;295,65;12,00;35,48;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MADEIRANIT;RENNER SAYERLACK S.A;Osasco;SP;MADEIRANIT;Agudos;SP;ROD MARECHAL RONDON, SN;AREA R DE AGUDOS;"=""17139899""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 11:16;05/11/2025 23:59;Frete normal;83672/262491;"=""35251160960473000243570030000836721636066505""";"=""83672""";"=""3""";03/11/2025;;914290, 914293;"=""2""";;;;;;;;45;559,64;559,64;1,20;24.075,34;523,57;523,57;0,94;2,17;523,57;12,00;62,83;0,00;0,00;MADEIRANIT;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;CDM PERFLEX ;RENNER SAYERLACK S.A;Osasco;SP;CDM PERFLEX ;Sorocaba;SP;ALAMEDA SESI, 62;CENTRO EMPRESARIAL SOROCABA;"=""18086403""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 11:19;05/11/2025 23:59;Frete normal;83673/262492;"=""35251160960473000243570030000836731192796325""";"=""83673""";"=""3""";03/11/2025;;"=""914292""";"=""1""";;;;;;;;1;3,63;3,63;0,01;311,54;69,31;69,31;19,11;22,25;69,31;12,00;8,32;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MIRELE FRENHE BERALDO ME;Squib;São Paulo;SP;MIRELE FRENHE BERALDO ME;Bauru;SP;RUA ALASKA, 13;JD. TERRA BRANCA;"=""17054040""";;;03/11/2025 11:21;05/11/2025 23:59;Frete normal;83674/262493;"=""35251160960473000243570030000836741207026387""";"=""83674""";"=""3""";03/11/2025;;"=""33592""";"=""1""";V. MÉRCIO;;"=""70895""";;;;;1;5,40;0,70;0,02;11.807,98;131,30;131,30;24,29;1,11;131,30;12,00;15,76;0,00;0,00;MIRELE FRENHE BERALDO ME;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MADEIRANIT COM E IND DE MADEIRAS LTDA-42220;RENNER SAYERLACK S.A;Osasco;SP;MADEIRANIT COM E IND DE MADEIRAS LTDA-42220;Sorocaba;SP;ROD RAPOSO TAVARES,, SN;VL ARTURA;"=""18023000""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 11:23;05/11/2025 23:59;Frete normal;83675/262494;"=""35251160960473000243570030000836751224494390""";"=""83675""";"=""3""";03/11/2025;;"=""914477""";"=""1""";;;;;;;;3;48,07;48,07;0,07;2.675,06;109,09;109,09;2,27;4,08;109,09;12,00;13,09;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MAKITA DO BRASIL FERRAMENTAS ELETRICAS L;SMC AUTOMACAO DO BRASIL LTDA;Osasco;SP;MAKITA DO BRASIL FERRAMENTAS ELETRICAS L;Ponta Grossa;PR;RODOVIA BR 376 KM 506 S/N, SN;INDUSTRIAL;"=""84043450""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 11:24;05/11/2025 23:59;Frete normal;83676/262495;"=""35251160960473000243570030000836761105161247""";"=""83676""";"=""3""";03/11/2025;;"=""1191315""";"=""1""";"=""062693""";;;;;;;1;0,55;0,14;0,00;249,11;71,73;71,73;131,37;28,79;71,73;12,00;8,61;0,00;0,00;MAKITA;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
